system,r_A,U,force_column
H2O,7.276265033,-0.01630676565,-0.03004108491
H2O,7.296308463,-0.01571431874,-0.02885250591
H2O,7.316351893,-0.01515052826,-0.02741292871
H2O,7.336395323,-0.01461507782,-0.02602464369
H2O,7.356438753,-0.01410693933,-0.02468765085
H2O,7.376482183,-0.01362508473,-0.02340195018
H2O,7.396525612,-0.013180618,-0.02047469571
H2O,7.416569042,-0.01280652606,-0.01684383478
H2O,7.436612472,-0.01250578664,-0.0131553363
H2O,7.456655902,-0.01227955502,-0.009409200288
H2O,7.476699332,-0.01212898644,-0.005605426728
H2O,7.496742762,-0.01203907556,-0.004137465325
H2O,7.516786192,-0.01195961381,-0.003785163264
H2O,7.536829621,-0.01188759394,-0.003394890731
H2O,7.556873051,-0.01182377699,-0.002966647725
H2O,7.576916481,-0.01176892403,-0.002500434246
H2O,7.596959911,-0.01172281394,-0.002163540221
H2O,7.617003341,-0.01168101985,-0.002029608635
H2O,7.637046771,-0.01164053947,-0.002032455119
H2O,7.6570902,-0.01159863127,-0.002172079673
H2O,7.67713363,-0.01155255378,-0.002448482297
H2O,7.69717706,-0.01150004107,-0.002776185418
H2O,7.71722049,-0.01144104858,-0.003120615129
H2O,7.73726392,-0.01137453115,-0.003527049148
H2O,7.75730735,-0.01129924599,-0.003995487476
H2O,7.77735078,-0.01121395034,-0.004525930113
H2O,7.797394209,-0.01111755536,-0.005088932718
H2O,7.817437639,-0.0110097674,-0.005673540385
H2O,7.837481069,-0.01088983906,-0.006300339963
H2O,7.857524499,-0.01075692467,-0.00696933145
H2O,7.877567929,-0.01061017855,-0.007680514846
H2O,7.897611359,-0.01045051273,-0.008076630691
H2O,7.917654788,-0.01028832599,-0.008103704029
H2O,7.937698218,-0.01012578882,-0.008111598847
H2O,7.957741648,-0.009963285604,-0.008100315143
H2O,7.977785078,-0.009801200756,-0.008069852918
H2O,7.997828508,-0.009639800855,-0.008046825345
H2O,8.017871938,-0.009478503583,-0.008047006212
H2O,8.037915367,-0.009317259565,-0.008041511475
H2O,8.057958797,-0.00915618256,-0.008030341135
H2O,8.078002227,-0.008995386327,-0.008013495193
H2O,8.098045657,-0.008835399808,-0.007891171381
H2O,8.118089087,-0.008679464086,-0.007683670065
H2O,8.138132517,-0.008526782006,-0.007566512331
H2O,8.158175947,-0.00837554277,-0.007539698179
H2O,8.178219376,-0.008223935584,-0.007603227608
H2O,8.198262806,-0.00806998824,-0.007798710728
H2O,8.218306236,-0.007910979229,-0.00805815266
H2O,8.238349666,-0.007747346394,-0.008260091111
H2O,8.258393096,-0.007580242304,-0.008404526081
H2O,8.278436526,-0.007410819526,-0.008491457569
H2O,8.298479955,-0.007239261542,-0.008840506932
H2O,8.318523385,-0.007048417383,-0.01031682665
H2O,8.338566815,-0.006821111651,-0.01247876385
H2O,8.358610245,-0.006543602219,-0.01532631855
H2O,8.378653675,-0.006202146961,-0.01885949074
H2O,8.398697105,-0.005784860828,-0.02237483
H2O,8.418740535,-0.005320831023,-0.02381804553
H2O,8.438783964,-0.00483446208,-0.02460390341
H2O,8.458827394,-0.0043389297,-0.02473240364
H2O,8.478870824,-0.003847409586,-0.02420354621
H2O,8.498914254,-0.003372343704,-0.02334686727
H2O,8.518957684,-0.002905093766,-0.02324121381
H2O,8.539001114,-0.002442106309,-0.02292154278
H2O,8.559044543,-0.001987670979,-0.02238785418
H2O,8.579087973,-0.001546077422,-0.02164014801
H2O,8.599131403,-0.001122930394,-0.01995278458
H2O,8.619174833,-0.0007714950445,-0.01521214078
H2O,8.639218263,-0.0005092134109,-0.01105673069
H2O,8.659261693,-0.0003243554027,-0.007486554296
H2O,8.679305122,-0.000205190929,-0.004501611612
H2O,8.699348552,-0.0001396301201,-0.002366034233
H2O,8.719391982,-9.455466793e-05,-0.002112313911
H2O,8.739435412,-5.573298386e-05,-0.001742012479
H2O,8.759478842,-2.550175319e-05,-0.001255129939
H2O,8.779522272,-6.197661191e-06,-0.0006516662901
H2O,8.799565702,-9.491406672e-08,-1.135636152e-06
H2O,8.819609131,-7.037748978e-08,-1.281136985e-06
H2O,8.839652561,-4.48227703e-08,-1.237229797e-06
H2O,8.859695991,-2.204629464e-08,-1.003914589e-06
H2O,8.879739421,-5.844449171e-09,-5.811913598e-07
H2O,8.899782851,4.375937442e-12,-9.040659746e-09
H2O,8.919826281,1.657117757e-09,-1.370668485e-07
H2O,8.93986971,4.744979365e-09,-1.522416786e-07
H2O,8.95991314,7.006032468e-09,-5.456514994e-08
H2O,8.97995657,6.178348777e-09,1.559627374e-07
H2O,9.0,0.0,4.793419835e-07
CO2,0.0005,76.28700846,26.22534907
CO2,0.020536862,75.76153476,26.22534913
CO2,0.04057372401,75.23606106,26.22534918
CO2,0.06061058601,74.71058735,26.22534923
CO2,0.08064744802,74.18511365,26.22534929
CO2,0.10068431,73.65963994,26.22534934
CO2,0.120721172,73.13416624,26.22534947
CO2,0.140758034,72.60869253,26.22534954
CO2,0.160794896,72.08321882,26.22534954
CO2,0.180831758,71.55774511,26.22534948
CO2,0.20086862,71.0322714,26.22534936
CO2,0.220905482,70.5067977,26.2253492
CO2,0.240942344,69.981324,26.22534913
CO2,0.260979206,69.45585029,26.22534913
CO2,0.2810160681,68.93037659,26.22534922
CO2,0.3010529301,68.40490289,26.2253494
CO2,0.3210897921,67.87942918,26.22534947
CO2,0.3411266541,67.35395547,26.2253495
CO2,0.3611635161,66.82848176,26.2253495
CO2,0.3812003781,66.30300805,26.22534949
