timestamp_utc,system,iteration,optimization_step,total_iterations,loss,vacf_mse,vacf_rmse,vacf_mae,vacf_max_abs_error,optimizer_name,learning_rate,iteration_wall_seconds,elapsed_wall_seconds,device,natom,filter_length,target_vacf_length,filter_shape,filter_min,filter_max,filter_mean,filter_std,filter_l2_norm,filter_grad_shape,filter_grad_min,filter_grad_max,filter_grad_mean,filter_grad_std,filter_grad_l2_norm,memory_kernel_shape,memory_kernel_min,memory_kernel_max,memory_kernel_mean,memory_kernel_std,memory_kernel_l2_norm
2026-06-13T19:47:41.179057+00:00,H2O,40,40,300,3.377267360687256,0.003377267625182867,0.05811426416039467,0.039886925369501114,0.1424504816532135,Adam,0.0003,14.551915884017944,633.6667380332947,cuda:0,2141,1000,1000,1000,-0.002859308384358883,0.013744765892624855,0.0014394635963849397,0.0038598849551035874,0.13027189762935246,1000,-1.6754796504974365,1.2341688871383667,0.013913864902919158,0.6887615209759708,21.784995488034173,1000,-0.0022477253805845976,0.010199105367064476,0.0006455680174072426,0.002175681947634761,0.07176593901261867
2026-06-13T19:47:57.065239+00:00,H2O,41,41,300,3.3184165954589844,0.003318416653200984,0.05760569870471954,0.04110950231552124,0.14512521028518677,Adam,0.0003,15.684935331344604,649.5528872013092,cuda:0,2141,1000,1000,1000,-0.0029888770077377558,0.014021818526089191,0.001441273481149551,0.003919905910757077,0.1320716911251356,1000,-1.8927192687988281,1.3278939723968506,-0.08797609181859298,0.7297357492650242,23.243365859682616,1000,-0.0023436464834958315,0.010481150820851326,0.0006450916122822434,0.002223465014904776,0.07321161014990997
2026-06-13T19:48:12.653649+00:00,H2O,42,42,300,3.2804150581359863,0.0032804151996970177,0.05727490782737732,0.040792644023895264,0.14131668210029602,Adam,0.0003,15.383908987045288,665.141325712204,cuda:0,2141,1000,1000,1000,-0.0031233050394803286,0.014293107204139233,0.0014406437003267455,0.003975732655993577,0.13372323815711643,1000,-1.6687006950378418,1.0625406503677368,-0.014665426937222946,0.6664553131277903,21.080269427678385,1000,-0.0024328422732651234,0.010772756300866604,0.0006468474494406564,0.0022723918798076823,0.07471396441271054
2026-06-13T19:48:27.705440+00:00,H2O,43,43,300,3.254687786102295,0.0032546878792345524,0.05704987049102783,0.04360373690724373,0.12556639313697815,Adam,0.0003,14.803821802139282,680.1931176185608,cuda:0,2141,1000,1000,1000,-0.003265613690018654,0.014559658244252205,0.0014400330320972897,0.004027859141347447,0.13526767683400018,1000,-1.5887181758880615,1.2945927381515503,-0.04650188423803775,0.6723276648696139,21.311661460025018,1000,-0.002522039460018277,0.011043868958950043,0.0006464225295030701,0.0023174051666903684,0.07608041004918652
2026-06-13T19:48:43.723799+00:00,H2O,44,44,300,3.107255458831787,0.00310725555755198,0.055742762982845306,0.04237743094563484,0.1329183131456375,Adam,0.0003,15.66959285736084,696.2114796638489,cuda:0,2141,1000,1000,1000,-0.003420200664550066,0.014823267236351967,0.0014373829077460698,0.00407952055182459,0.13677922925736843,1000,-1.641764521598816,1.0591329336166382,-0.010119889603694901,0.6416772457670914,20.29413954571199,1000,-0.0026134822983294725,0.011300445534288883,0.0006460076053455453,0.0023592672154523387,0.07735287725787915
2026-06-13T19:48:58.789899+00:00,H2O,45,45,300,3.1614999771118164,0.003161500208079815,0.056227218359708786,0.04204483702778816,0.14966252446174622,Adam,0.0003,14.861410856246948,711.2775735855103,cuda:0,2141,1000,1000,1000,-0.0035775876604020596,0.015086313709616661,0.0014338445987920067,0.004131484739886655,0.13829344340713087,1000,-1.7933685779571533,1.1305372714996338,-0.006065598385699559,0.6432430405822878,20.342035314621874,1000,-0.0027121645398437977,0.011554411612451077,0.0006437798273971111,0.0024015947306885023,0.07862639325718962
2026-06-13T19:49:14.550047+00:00,H2O,46,46,300,3.442790985107422,0.0034427910577505827,0.05867530032992363,0.04352005943655968,0.15984417498111725,Adam,0.0003,15.512955665588379,727.03773021698,cuda:0,2141,1000,1000,1000,-0.0037371469661593437,0.015351327136158943,0.001431843622999395,0.004180542938284509,0.13973945548614575,1000,-1.690222144126892,1.2552181482315063,-0.07052055794320768,0.6288608313270292,20.010974345841923,1000,-0.0028108027763664722,0.011811655946075916,0.0006407712672173603,0.002444659373883927,0.07991837880744262
2026-06-13T19:49:30.376437+00:00,H2O,47,47,300,3.809422254562378,0.0038094224873930216,0.06172052025794983,0.050350796431303024,0.15680672228336334,Adam,0.0003,15.625688076019287,742.8641216754913,cuda:0,2141,1000,1000,1000,-0.0038905481342226267,0.015622270293533802,0.0014344936022599767,0.0042279255437550215,0.141184724026578,1000,-1.7090755701065063,1.2700843811035156,-0.10784161294880323,0.6533907373721286,20.941567972983623,1000,-0.002905866364017129,0.012059954926371574,0.0006391247068575013,0.0024843238788644327,0.08111932892974218
2026-06-13T19:49:45.165606+00:00,H2O,48,48,300,2.563790798187256,0.0025637908838689327,0.05063389241695404,0.03760839253664017,0.13954034447669983,Adam,0.0003,14.591469049453735,757.6532800197601,cuda:0,2141,1000,1000,1000,-0.004040939267724752,0.015891822054982185,0.0014370771193737255,0.00427616536764061,0.14265616319821742,1000,-1.4919394254684448,1.1596530675888062,0.007633833728032186,0.5782132273310846,18.28630120275874,1000,-0.0029949427116662264,0.012310706079006195,0.0006415956140085655,0.002522359506364235,0.08230396352096936
2026-06-13T19:50:01.050414+00:00,H2O,49,49,300,3.158902168273926,0.003158902283757925,0.056204114109277725,0.042883340269327164,0.15870049595832825,Adam,0.0003,15.68403673171997,773.5380980968475,cuda:0,2141,1000,1000,1000,-0.004177758004516363,0.016163552179932594,0.0014431099112009634,0.0043242998388259585,0.14416010305169966,1000,-1.8135014772415161,1.0440706014633179,-0.11009552968898788,0.6367748372395867,20.4353423998474,1000,-0.0030819345265626907,0.012568648904561996,0.0006440155174935854,0.00256071875278696,0.08349872165277342
2026-06-13T19:50:16.237446+00:00,H2O,50,50,300,2.834275722503662,0.0028342758305370808,0.0532379187643528,0.04279591888189316,0.12817688286304474,Adam,0.0003,14.98634123802185,788.7251174449921,cuda:0,2141,1000,1000,1000,-0.004310216289013624,0.016437025740742683,0.0014506391528670973,0.004372110494260066,0.1456698463164219,1000,-1.201300859451294,1.389805793762207,-0.018350034973351286,0.5771973117387564,18.261803319003587,1000,-0.0031570971477776766,0.012835050001740456,0.0006495143035342608,0.0025982385147614905,0.08469186625695287
2026-06-13T19:50:31.751131+00:00,H2O,51,51,300,2.571916341781616,0.002571916440501809,0.05071406438946724,0.041022639721632004,0.11766427755355835,Adam,0.0003,15.115323781967163,804.2388160228729,cuda:0,2141,1000,1000,1000,-0.004449374973773956,0.016705039888620377,0.0014577530631295302,0.004414822289717594,0.14702278681500644,1000,-1.1655954122543335,1.104250431060791,-0.035249361051479355,0.5414164367632865,17.15733882197328,1000,-0.0032311207614839077,0.013105295598506927,0.0006563774671888041,0.0026347223233835764,0.08586380553393227
2026-06-13T19:50:47.542530+00:00,H2O,52,52,300,2.4877805709838867,0.002487780759111047,0.04987765848636627,0.04056602716445923,0.13979238271713257,Adam,0.0003,15.593481063842773,820.0302124023438,cuda:0,2141,1000,1000,1000,-0.0045905751176178455,0.016968559473752975,0.0014651507500821027,0.004454010667703209,0.14827298387933027,1000,-1.3309001922607422,1.1311888694763184,-0.04368216722959187,0.5188597835009532,16.465831490347824,1000,-0.003308321349322796,0.013349860906600952,0.0006628888258173902,0.002665368440381828,0.08685396086752185
2026-06-13T19:51:02.283425+00:00,H2O,53,53,300,2.5322203636169434,0.00253222044557333,0.050321172922849655,0.04117521271109581,0.1185828149318695,Adam,0.0003,14.541109561920166,834.7711086273193,cuda:0,2141,1000,1000,1000,-0.004740057047456503,0.01723293401300907,0.0014716054287713404,0.00449237167318999,0.14948921629358122,1000,-0.9643510580062866,1.38917875289917,0.044865363497287036,0.5474619105394406,17.370303518742503,1000,-0.00338498642668128,0.013577868230640888,0.0006696799334268917,0.0026921128410817056,0.0877265225707235
2026-06-13T19:51:18.137243+00:00,H2O,54,54,300,2.932729959487915,0.0029327301308512688,0.054154686629772186,0.043679408729076385,0.12324786186218262,Adam,0.0003,15.653028964996338,850.6248931884766,cuda:0,2141,1000,1000,1000,-0.004898422863334417,0.017499037086963654,0.0014801739590826345,0.004527835104784787,0.15063932317050494,1000,-1.2796396017074585,1.1853398084640503,-0.09866047559144499,0.5648520013147162,18.132613513588446,1000,-0.00347032374702394,0.013801531866192818,0.0006756453441206531,0.0027175373614345653,0.0885522780160096
2026-06-13T19:51:33.503839+00:00,H2O,55,55,300,2.233276128768921,0.002233276143670082,0.047257550060749054,0.03888140618801117,0.11715539544820786,Adam,0.0003,15.162860870361328,865.9915132522583,cuda:0,2141,1000,1000,1000,-0.0050493874587118626,0.017763225361704826,0.0014919841875416751,0.004561959873917412,0.15178107493066112,1000,-0.9388573169708252,0.924468457698822,-0.0704135226723738,0.45229924263891,14.475243316326827,1000,-0.0035617107059806585,0.014014712534844875,0.0006835622404755668,0.0027399647615783534,0.08930097553383781
2026-06-13T19:51:48.790659+00:00,H2O,56,56,300,2.572192907333374,0.00257219304330647,0.050716791301965714,0.04150178283452988,0.1289026439189911,Adam,0.0003,15.041820764541626,881.278341293335,cuda:0,2141,1000,1000,1000,-0.005194774828851223,0.018031245097517967,0.001506327906248771,0.004595661720651791,0.15293505292053872,1000,-1.0233551263809204,0.9188279509544373,-0.09863490540836937,0.45204177698890186,14.631152131947847,1000,-0.0036509386263787746,0.014227969571948051,0.0006945083361351862,0.0027620058207256195,0.09006119021356238
