iteration,loss,learning_rate,vacf_rmse,full_vacf_rmse,regularization,memory_second_diff,filter_first_diff,filter_second_diff,filter_tail,filter_norm
70,0.0008237296347428403,0.003,0.028700690492440076,0.028715051609422053,0.0,0.00024405783201648132,1.608094433441551e-06,8.773518095096434e-07,0.0,0.992991914116362
71,0.0007323097720886958,0.003,0.027061222664334587,0.027074763432089286,0.0,0.00024451470391351416,1.6091871275542782e-06,8.773547515025725e-07,0.0,0.9930193244620776
72,0.0007449991172218878,0.003,0.027294671956663772,0.027308329536681143,0.0,0.00024454244458989695,1.6095848362621093e-06,8.77355891620554e-07,0.0,0.9945129399722441
73,0.0008612382147390055,0.003,0.029346860389810107,0.029361544834256584,0.0,0.000246013970978055,1.6096353067437417e-06,8.773559513280329e-07,0.0,0.9985655921406659
74,0.0009548673099588828,0.003,0.030900927331698035,0.030916389392876633,0.0,0.00025003994515862294,1.6100896933341363e-06,8.773563478009594e-07,0.0,1.003717274597177
75,0.0009668840449188029,0.003,0.031094759123022692,0.031110318172844497,0.0,0.0002552294810428516,1.6114293398726728e-06,8.77357914769007e-07,0.0,1.0068083265740895
76,0.0009121440453326939,0.003,0.030201722555720126,0.03021683475209025,0.0,0.0002583828794756936,1.6136411938168819e-06,8.773605255383266e-07,0.0,1.0057610738370333
77,0.000804479279277153,0.003,0.02836334393679901,0.02837753625389269,0.0,0.00025731366890606726,1.6163506666702905e-06,8.773636649276519e-07,0.0,1.0013429797192541
78,0.0007105852186807213,0.003,0.026656804359876322,0.02667014276669544,0.0,0.0002528331726796545,1.6191259400282576e-06,8.773671054236875e-07,0.0,0.9962877779342081
79,0.000692368128270679,0.003,0.026312889014144362,0.026326055334214792,0.0,0.0002477775545919638,1.6215505812522691e-06,8.773706229430597e-07,0.0,0.9933067299521565
80,0.0007315577406580047,0.003,0.027047324094224272,0.027060857907477608,0.0,0.0002448310765013355,1.6233385394209147e-06,8.773739235261751e-07,0.0,0.9932492959982416
81,0.0007920311662414865,0.003,0.028143048275577516,0.02815713036216081,0.0,0.0002447731436030884,1.624535106054367e-06,8.77376872503649e-07,0.0,0.9949173922233794
82,0.0008352254812016934,0.003,0.028900267839618604,0.0289147288201781,0.0,0.0002464167644149918,1.6254167969213602e-06,8.773795403050597e-07,0.0,0.9964006625075237
83,0.0007997904414066169,0.003,0.028280566497271883,0.028294717394578374,0.0,0.0002478861695892999,1.6262178250143504e-06,8.773819569290894e-07,0.0,0.9965903576302133
84,0.0007101668915323606,0.003,0.026648956668739596,0.02666229114876781,0.0,0.0002480752838989795,1.626797456582835e-06,8.773835957249963e-07,0.0,0.9960832602550845
85,0.0006855229051923428,0.003,0.026182492341111127,0.0261955934139055,0.0,0.0002475723555202107,1.6268196714461987e-06,8.773838510002852e-07,0.0,0.9968155492390701
86,0.0007606244711048008,0.003,0.027579421152460773,0.027593221213946053,0.0,0.000248299364775266,1.6264010780303004e-06,8.773831286155455e-07,0.0,1.0001472345078424
87,0.0008407541269627541,0.003,0.02899576049981711,0.029010269262546313,0.0,0.00025162781619521226,1.6261575732579757e-06,8.773826473696459e-07,0.0,1.0049804391491186
88,0.0008700503732078694,0.003,0.029496616300990684,0.029511375679598054,0.0,0.0002565164002655255,1.6266237245941234e-06,8.773832382311261e-07,0.0,1.0083181849218739
89,0.0008522512083010774,0.003,0.02919334184880308,0.029207949476361586,0.0,0.0002599345092708344,1.6279415345827894e-06,8.773848515167949e-07,0.0,1.0078946026865423
90,0.0007801614203082719,0.003,0.027931369825131596,0.027945345993044043,0.0,0.00025950017372184384,1.6298944937768964e-06,8.773870115828864e-07,0.0,1.004133324150581
91,0.0006975937254398154,0.003,0.026411999648641056,0.026425215561226227,0.0,0.00025565756659207,1.6320864453783979e-06,8.773894403185481e-07,0.0,0.9995489753049743
92,0.0006627023560341851,0.003,0.025743005963449278,0.025755887128109976,0.0,0.0002510310335545288,1.6340811531846776e-06,8.773919523300635e-07,0.0,0.9967577812635918
93,0.0006686576080554027,0.003,0.02585841464698489,0.025871353559301702,0.0,0.00024824408458517963,1.6355382476439955e-06,8.773943103383345e-07,0.0,0.9965816435678825
94,0.0007011903393418972,0.003,0.02647999885464305,0.026493248792352188,0.0,0.0002480673237059071,1.6364042375955456e-06,8.773963313102205e-07,0.0,0.9978632135478425
95,0.0007459955210675975,0.003,0.027312918574689114,0.027326585284863685,0.0,0.0002493412805637905,1.6369068379434493e-06,8.773980191509744e-07,0.0,0.9988499626950554
96,0.0007407500646428569,0.003,0.02721672398807132,0.027230342564849526,0.0,0.0002503261124873267,1.6373388725097277e-06,8.773994834209415e-07,0.0,0.99865583372018
97,0.0006785493869904434,0.003,0.026048980536490164,0.026062014803273543,0.0,0.00025013228083108237,1.6376945598449667e-06,8.774004834938711e-07,0.0,0.9979379391470704
98,0.0006483271897853784,0.003,0.02546226992601756,0.02547501061729572,0.0,0.00024941575511897794,1.6376699090004655e-06,8.77400525474497e-07,0.0,0.9984201782506423
99,0.0006874271275097868,0.003,0.026218831543564004,0.026231950799598176,0.0,0.00024989687935415193,1.6372146682911695e-06,8.77399748781944e-07,0.0,1.0012110308376945
100,0.0007394716500500234,0.003,0.027193228018203786,0.02720683483817872,0.0,0.00025269582659101525,1.6367343957995918e-06,8.773990177575898e-07,0.0,1.005317577998776
101,0.0007693449505986377,0.003,0.02773706816876358,0.027750947112923946,0.0,0.00025685750450382433,1.6366987247765202e-06,8.773990206844334e-07,0.0,1.0082015393192179
102,0.0007705360158749882,0.003,0.02775853050640448,0.027772420189788757,0.0,0.0002598112073460269,1.6373450698058819e-06,8.773998277085647e-07,0.0,1.007976982199223
103,0.0007280096222400091,0.003,0.02698165343784567,0.026995154391123783,0.0,0.00025958088672645705,1.6386179409483943e-06,8.774011714237916e-07,0.0,1.0050089429911984
104,0.0006690679408115117,0.003,0.02586634765117626,0.025879290532972533,0.0,0.00025654417323068434,1.6402217054103117e-06,8.774028280343288e-07,0.0,1.0014163037762513
105,0.0006351146483081656,0.003,0.025201481073702108,0.025214091272676726,0.0,0.00025290349967324165,1.6417556732054656e-06,8.774046070154415e-07,0.0,0.9992938414403278
106,0.0006264386563824278,0.003,0.025028756588820544,0.02504128036072701,0.0,0.00025077003440040905,1.6428733486970137e-06,8.774062528111752e-07,0.0,0.9991535844425755
107,0.0006414631549824277,0.003,0.02532712291166187,0.02533979597871045,0.0,0.0002506278593865491,1.6434520803527857e-06,8.77407509401201e-07,0.0,0.9999420596817422
108,0.0006717227586800869,0.003,0.02591761483393267,0.02593058336856155,0.0,0.000251416327829675,1.6436422571683246e-06,8.774083202146953e-07,0.0,1.0003101712403037
109,0.000670993985033457,0.003,0.02590355159111308,0.025916513088842432,0.0,0.00025178478981194443,1.6436985747517845e-06,8.774088082650785e-07,0.0,0.9998065901740555
110,0.000633786452753575,0.003,0.025175115744591425,0.025187712751006234,0.0,0.0002512789268842503,1.643671736412635e-06,8.774089276631331e-07,0.0,0.9992274479993648
111,0.000617253584466525,0.003,0.0248445886354861,0.02485702025429531,0.0,0.00025069834150373826,1.6433956292544275e-06,8.774084819105545e-07,0.0,0.9999402048166552
112,0.0006414272959098986,0.003,0.025326414983370595,0.025339087696189335,0.0,0.00025141235503857575,1.6428565172404704e-06,8.774076441430041e-07,0.0,1.0024718780289499
113,0.0006750587966674858,0.003,0.025981893631286494,0.025994894329438703,0.0,0.00025396182334843964,1.6423306053069242e-06,8.774069647988945e-07,0.0,1.005677026740516
114,0.0006996041547374516,0.003,0.02645003128046263,0.026463266223137466,0.0,0.00025721762483626125,1.642144188408081e-06,8.774068143007977e-07,0.0,1.0075593557120859
115,0.0007026540453349744,0.003,0.026507622400641185,0.026520886160490795,0.0,0.00025914441283515804,1.6424750907161481e-06,8.774071776899515e-07,0.0,1.0070041333041981
116,0.0006750135288459969,0.003,0.02598102247499118,0.025994022737238283,0.0,0.0002585750465875749,1.643280457137973e-06,8.774078785531376e-07,0.0,1.0046635606645686
117,0.0006374834058279369,0.003,0.02524843373019279,0.025261067423117577,0.0,0.00025618463234591544,1.6443244537357277e-06,8.774087785181994e-07,0.0,1.002243442266953
118,0.0006110951401011955,0.003,0.02472033859196098,0.024732708039115807,0.0,0.0002537299185933933,1.645292916378716e-06,8.774097481654388e-07,0.0,1.0010201064006112
119,0.0006003548156012564,0.003,0.02450213900052925,0.024514399265995263,0.0,0.00025249482278506135,1.6459316821319876e-06,8.774105900904571e-07,0.0,1.0009550329632646
120,0.0006109877399515928,0.003,0.02471816619313805,0.02473053455327813,0.0,0.00025242751213775517,1.646169492685264e-06,8.774111112218805e-07,0.0,1.001132021537969
121,0.000628009006399278,0.003,0.025060107868867566,0.02507264732818059,0.0,0.0002526039642593649,1.646134575643936e-06,8.774112923066451e-07,0.0,1.0008270804154906
122,0.0006219963922038836,0.003,0.024939855496852494,0.024952334784847263,0.0,0.0002522958431491096,1.6459847840641742e-06,8.774112156319234e-07,0.0,1.0001884035943929
123,0.0006023538091723168,0.003,0.024542897326361387,0.024555177986287435,0.0,0.00025165319920625307,1.6457157695983484e-06,8.774108510886332e-07,0.0,1.0001054755262682
124,0.0006001737564226513,0.003,0.024498443959212007,0.02451070237577057,0.0,0.000251569346650725,1.6452473399875858e-06,8.774101740732629e-07,0.0,1.0013598566166244
125,0.00061786212194805,0.003,0.0248568325003016,0.024869270245638505,0.0,0.0002528303298418685,1.64465394411275e-06,8.77409416051312e-07,0.0,1.0037054527454594
126,0.0006414224399353069,0.003,0.02532631911540457,0.025338991780253343,0.0,0.00025520163994385115,1.644172132281845e-06,8.774089146167903e-07,0.0,1.0058654501057407
127,0.0006588685886103506,0.003,0.02566843564789936,0.025681279499415087,0.0,0.0002574002374559662,1.6440353230148758e-06,8.774088228103078e-07,0.0,1.0065700062830565
128,0.0006567516392698007,0.003,0.02562716604054769,0.025639989241770734,0.0,0.00025812042949218203,1.6443391050597272e-06,8.774090852187363e-07,0.0,1.005616692464553
129,0.0006354684496921191,0.003,0.025208499552573913,0.025221113263422083,0.0,0.0002571459883940633,1.6449889405153935e-06,8.774095793350524e-07,0.0,1.0039151536085218
130,0.0006095212296410162,0.003,0.024688483745281244,0.024700837253057193,0.0,0.00025541339351549603,1.6457537581912623e-06,8.774101870671936e-07,0.0,1.0025769375081506
131,0.0005897111974168695,0.003,0.024283969968208852,0.024296121067277084,0.0,0.0002540562596598331,1.6463791462138896e-06,8.774107595307245e-07,0.0,1.0019966383222565
132,0.0005848019493320052,0.003,0.024182678704643232,0.02419477912006377,0.0,0.00025346831444180914,1.6467074516127967e-06,8.774111216705225e-07,0.0,1.0017810795602267
133,0.0005941792960912002,0.003,0.024375793240245542,0.024387990285412234,0.0,0.00025324897506501975,1.646750797378141e-06,8.774111988023693e-07,0.0,1.0014100668750674
134,0.0005992586569131196,0.003,0.024479760148194255,0.02449200921583503,0.0,0.0002528733189169173,1.6466291887418503e-06,8.774110621300103e-07,0.0,1.0008526866174279
